titre,nom,stars,localisation,nb_reviews,date_review,date_experience,comment
Quick and easy,LINDA G,Rated 5 out of 5 stars,US,1 review,2018-06-01T12:24:03.000Z,,Great service. Quick response!
The claim process was very fast,DAVID R,Rated 5 out of 5 stars,US,1 review,2018-06-01T11:42:18.000Z,,The claim process was very fast. I had my new device the next day.
Great service,ROBERT P,Rated 5 out of 5 stars,US,1 review,2018-06-01T11:15:56.000Z,,"Fast, painless process.  Received my replacement phone in 2 days"
Great customer service!,Sandy,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T11:12:49.000Z,,Quickly shipped replacement phone!
Did a great job,WALTER H,Rated 5 out of 5 stars,US,1 review,2018-06-01T11:08:22.000Z,,"Did a great job. I had a bad experience in the past with phone insurance, but this experience was much better"
Very fast replacement,STEPHEN S,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T11:04:42.000Z,,Very fast replacement. Very easy to use.
Quick and fast,ANTOINE F,Rated 5 out of 5 stars,US,1 review,2018-06-01T10:59:06.000Z,,They was helpful the  process  Was quick and fast
Process was simple and straightforward,Jennifer Fulford,Rated 5 out of 5 stars,US,1 review,2018-06-01T10:46:11.000Z,,Process was simple and straightforward. Replacement phone arrived quickly.
Have had GREAT response and service…,LEROY Z,Rated 5 out of 5 stars,US,1 review,2018-06-01T09:51:53.000Z,,Have had GREAT response and service with your company. Thank You !
Phone claim,ASHLEY ,Rated 5 out of 5 stars,US,2 reviews,2018-06-01T09:12:03.000Z,,Great service
I had most of the transfer done before…,CATHY H,Rated 5 out of 5 stars,US,3 reviews,2018-06-01T09:02:43.000Z,,I had most of the transfer done before I called.  The call just finished up the last few steps.  Everything went great.
Great service,Johanna Q,Rated 5 out of 5 stars,US,1 review,2018-06-01T09:00:07.000Z,,Very fast your service
Quick efficient replacement...and a…,MATTHEW S,Rated 5 out of 5 stars,US,1 review,2018-06-01T06:28:58.000Z,,Quick efficient replacement...and a slight upgrade to boot!Thank you.
Quick and efficient,Patricia Brennan,Rated 5 out of 5 stars,US,1 review,2018-06-01T05:19:33.000Z,,Quick and efficient. Answered all my questions. Got my replacement in two days.
Great service,ROBYN L,Rated 5 out of 5 stars,US,1 review,2018-06-01T05:08:26.000Z,,Great service - thank you!
I can't believe how easy it was to…,ERIN H,Rated 5 out of 5 stars,US,1 review,2018-06-01T04:55:34.000Z,,"I can't believe how easy it was to replace my phone. Everyone I spoke with was more than helpful. Best Customer Service I have ever received. I have already recommended your service to a co-worker who has Verizon and needed to get a replacement but didn't want the hassle. Thank you to all. Other business should learn from you guys. Courteous, understanding, patient.. a true pleasure to deal with."
YOU GUYS SOLVED THE PROBLEM VERY FAST…,AYE WIN,Rated 5 out of 5 stars,US,1 review,2018-06-01T04:31:26.000Z,,YOU GUYS SOLVED THE PROBLEM VERY FAST AND EFFICIENT.THANK YOU GUYS.
The ins was fast to send a new item.,LEMUEL P,Rated 5 out of 5 stars,US,1 review,2018-06-01T04:22:21.000Z,,The ins was fast to send a new item.Thanks
Awesome,ERICA R,Rated 5 out of 5 stars,US,1 review,2018-06-01T04:00:35.000Z,,"Awesome , they handle my claim right away ..."
Fantastic setvice,VINCENT M,Rated 5 out of 5 stars,US,1 review,2018-06-01T03:35:22.000Z,,
The process was easy and response and…,BRYON A,Rated 5 out of 5 stars,US,1 review,2018-06-01T03:32:15.000Z,,The process was easy and response and replacement were fast.
Good but expensive.,RAQUEL P,Rated 4 out of 5 stars,US,1 review,2018-06-01T03:10:08.000Z,,
